id;name;price;seller #1;price #1;bonus #1;bonus, % #1;seller #2;price #2;bonus #2;bonus, % #2;seller #3;price #3;bonus #3;bonus, % #3;seller #4;price #4;bonus #4;bonus, % #4;seller #5;price #5;bonus #5;bonus, % #5;seller #6;price #6;bonus #6;bonus, % #6;seller #7;price #7;bonus #7;bonus, % #7;seller #8;price #8;bonus #8;bonus, % #8;seller #9;price #9;bonus #9;bonus, % #9;seller #10;price #10;bonus #10;bonus, % #10
100024031347;Сковорода Pyrex OP28BF2 Черный;1399;Bezant;1399;209;15%;Bezant;1399;209;15%;MrDom;1760;264;0,15;unipod;1885;282;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100022838757;Утятница Pyrex O cuisine 4,5 л;748;Bezant;748;112;15%;Bezant;748;112;15%;ItalPosuda;910;136;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024031348;Сковорода Pyrex OP28BW2 Черный;1699;Bezant;1699;254;15%;Bezant;1699;254;15%;MrDom;1980;297;0,15;unipod;2380;357;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100024034183;Форма для запекания Pyrex 244P000;698;Bezant;698;104;15%;Bezant;698;104;15%;unipod;820;123;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100001322873;Сервиз Luminarc Trianon 20 предметов белый (78869);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028768;Сковорода MONETA Salvaenergia PLUS M0720128 28x5 см;1200;Юлмарт;1200;180;15%;Юлмарт;1200;180;15%;Bezant;1599;239;0,15;ItalPosuda;1950;292;0,15;vinand;2770;415;0,15;AUTSTOK;1910;286;0,15;;;;;;;;;;;;;;;;
100023854384;Ершик для унитаза с подставкой Wenko Barock Белый;1168;Bezant;1168;233;20%;Bezant;1168;233;20%;MrDom;1332;266;0,2; hit-dekor;2215;443;0,2;;;;;;;;;;;;;;;;;;;;;;;;
100024028773;Сковорода Pyrex SlowCook SC26BF4/6142 26x5 см;3399;Bezant;3399;509;15%;Bezant;3399;509;15%;ItalPosuda;3890;583;0,15;AUTSTOK;3900;585;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100024028765;Сковорода MONETA Salvaenergia PLUS M0720120 20x5 см;1068;Bezant;1068;160;15%;Bezant;1068;160;15%;ItalPosuda;1290;193;0,15;vinand;1900;285;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100024028758;Сковорода MONETA Greystone M3060126 26x5 см;1200;Юлмарт;1200;180;15%;Юлмарт;1200;180;15%;ItalPosuda;1690;253;0,15;Bezant;1699;254;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100024028752;Сковорода ILLA Gourmet GC5228 28x5 см;1488;Bezant;1488;223;15%;Bezant;1488;223;15%;ItalPosuda;2190;328;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028747;Сковорода ILLA MY CHEF MC6324 24x5 см;1799;Bezant;1799;269;15%;Bezant;1799;269;15%;ItalPosuda;2050;307;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836907;Набор кастрюль Attribute ASS401 8шт;3099;Bezant;3099;464;15%;Bezant;3099;464;15%;AUTSTOK;3280;492;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836795;Кастрюля Attribute classic 5л;1058;Bezant;1058;158;15%;Bezant;1058;158;15%;MrDom;1306;195;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022841932;Тарелка DOMENIK Blossom 32 см;807;Posuda.ru;807;201;25%;Posuda.ru;807;201;25%;Bezant;708;177;0,25;MrDom;786;196;0,25;;;;;;;;;;;;;;;;;;;;;;;;
100024033964;Корзина для белья Violet Вязь 2060/20 Латте;828;Bezant;828;124;15%;Bezant;828;124;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022884914;Корзина для белья с крышкой Ротанг 40л,(белая);698;Bezant;698;104;15%;Bezant;698;104;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
